name,address,phone,lat,lon
কবি নজরুল সরকারি কলেজ,"1, Municipality Street, Laxmi Bazer, Sutrapur, Dhaka, 1100",,23.7095076,90.4129323
Muslim High School,,,23.7091051,90.4128448
Dhaka Collegiate School,,,23.7077555,90.410488
Shahid Nabi High School,,,23.7193686,90.4220772
K.L.Jubilee High School & College,"North Brook Hall Road, Dhaka",,23.7054631,90.4127366
Pogose School,"Chittaranjan Avenue, 1100",,23.709365,90.410258
St. Gregory's High School,"Municipal Street, Dhaka, 1100",,23.7084812,90.4141898
Nabab Katra Govt. Primary School,,,23.7226416,90.4007802
Law College,,,23.7217494,90.4042327
Law College,,,23.7220104,90.4041953
Holy Heart International School & College,,,23.7166643,90.3993094
Holy Heart International School & College,,,23.7166852,90.3995032
Mowlovibazar Govt. Primary School,,,23.7167356,90.3989699
IET Govt. Primary School,,,23.7192289,90.4028703
Eden English School,,,23.7172041,90.4028358
Darut Ta-liz Modrara,,,23.7199648,90.4055247
Polash Academy,,,23.7199582,90.4049567
বায়োমেডিক্যাল ফিজিক্স অ্যান্ড টেকনোলজি ডিপার্টমেন্ট,,,23.7273622,90.4020227
জেনেটিক ইঞ্জিনিয়ারিং ও জৈবপ্রযুক্তি অনুষদ,,,23.7268194,90.4017403
সিদ্দিক মিয়া সরকারি প্রাথমিক বিদ্যালয়,,,23.7098174,90.3884089
Hazi Abdul Ali Samsul Ulum Madrasah & Orphanage,,,23.7103971,90.3878381
Gankosh Coaching Center,,,23.7020893,90.4245169
Wisdom Ideal School and College,,,23.707077,90.4200904
Banglayon Rifle Biddhaniketon,,,23.7072988,90.4213813
Asia Khatun Bidya NIketan,,,23.7004726,90.4208506
Kamal Srimty Pathagar,"106l5, Dinanath Sen Road, Dhaka",,23.7024339,90.4238941
Chunkutia Girl's High School,,,23.6962227,90.3999681
"Aganagar Government Primary School, Jhaubari Graveyard, Keraniganj","aganogor, dhaka, 1310",,23.7060745,90.400144
"Cambrian School & College, Semonti Tower, Keraniganj","Zinzira - Ramerkanda Road, dhaka, 1310",,23.7030878,90.3983707
Monija Rahman Girls High School,,,23.7039858,90.4226276
Mir Nawab Free Protibondhi School,Alauddin Road,,23.72165,90.4058788
Bongshal Rukon Uddin Tahfijul Kur'an Madrasa,Alauddin Road,,23.7181976,90.4071408
Talimul Kur'an Madrasa,Jonson Road,,23.7131801,90.4116688
Rokonpur Girls High School,Dholaikhal Road,,23.7112517,90.4163056
Dhaka Mohanagar Mohila College,,,23.7087379,90.4141994
Dhaka Central Girls High School,"15,Lakshmi Bazar,Dhaka",,23.7087199,90.4144979
Winston Ideal School,,,23.7091106,90.4134899
"গণিত বিভাগ, জগন্নাথ বিশ্ববিদ্যালয়",,,23.7085747,90.4105389
"Madrasaye noore madina, School, Keraniganj",,,23.694536,90.3985213
"Orchid International School, Unnamed Road, Keraniganj",,,23.6962384,90.3972979
"Imambari Government Primary School, Thana Rd, Keraniganj Dhaka",,,23.7043651,90.3983735
"United National School & College, circle, Kadamtoli",,,23.6996515,90.3981663
"Bright life kindergarten and High School, Jhaubari Rd, Keraniganj",,,23.6971728,90.3994962
"ICT School & College, Keraniganj",,,23.7048729,90.4007148
"Ambagicha Govt primary school, Ambagicha College Rd, Keraniganj",,,23.7035878,90.399354
"Zindabahar Govment Primary School, Zindabahar 2nd Ln, Dhaka",,,23.713432,90.4060877
"Dhaka Professionals College, Private college, sutrapur, Dhaka",,,23.7135948,90.4122812
"Hammadia High School, Naya Bazar, Dhaka",,,23.713843,90.4045497
"Ahmed Bawany Academy School and College, Kassabtuly/Kasaituly Ln, Dhaka",,,23.7140003,90.4042641
"Reading Room, Sir Salimullah Medical College, University, Lecture Gallery, Mitford Rd, Dhaka",,,23.7107803,90.4024674
"Dokhin Muhoshindi Sorkari Prathomik Biddaloy, School, Lal Mohan Saha Street, Thana- Sutrapur, Dhaka",,,23.7131442,90.4149997
"Muslim Govt. Primary School, Lal Mohan Saha Street, Dhaka",,,23.713043,90.4154101
"Haji Golam Mawla Government Primary School, Elementary school, Dholaikhal Rd, Dhaka",,,23.7114742,90.4168443
"Dholaikhal Madrasa, Religious school, Goal Ghat Lane, Dhaka",,,23.7136696,90.4140701
"Childs Fairyland Tutorial, Swamibag,Gandaria, Hatkhola Rd, Dhaka",,,23.7141096,90.4221641
"Mitali Biddyapith High School, Swamibagh Rd, Dhaka",,,23.7167096,90.4233085
"Central Womens University, Private university, Hatkhola Rd, Dhaka",,,23.718296,90.4202091
"Bangladesh Oxford School - Wari, Chandi Charan Bosh St, Dhaka",,,23.7193846,90.4181691
"Evergreen Education School ~ Wari, Joykali Mondir Road, Wari, Dhaka",,,23.7211063,90.4172901
"Wari Abed High School, Jatrabari Gulistan Flyover, Dhaka",,,23.7202792,90.4179661
"Paranpur A. Rouf Memorial School & College, Hosseni Dalan Road, Dhaka",,,23.7236422,90.3995227
Ramakrishna Mission High School,,,23.7212204,90.4228986
Kamrunnesa Govt. Girls High School,,,23.7190665,90.4226367
Jatiyo Grontho Kendro,,,23.7250795,90.4110347
Salauddin Nursing Institute,,,23.7168394,90.4198526
জগন্নাথ বিশ্ববিদ্যালয়,"10, Chittaranjan Avenue;Chitta Ranjan Avenue, Dhaka, 1100",,23.7089543,90.4106595
সেন্ট্রাল উইমেন্স কলেজ,,,23.7201358,90.4243225
Libarary (Shakha Shorkari),Armanian Street,,23.7129422,90.4030592
তড়িৎ ও ইলেকট্রনিক কৌশল বিভাগ,"Dhaka, 1000",,23.7273898,90.4009822
Central Women University,,,23.7184712,90.4201757
St. Francis Xavier's Girls High School,,,23.7086009,90.4134844
Anjuman Mufidul Islam Balika Home (yatimkhana),"5, S.K.Das Road, Dhaka",,23.7025232,90.4206122
Anjuman Jamilur Rahman Islamiya Junior High School,"12/1, Akshay Das Lane, Dhaka",,23.7031333,90.4213393
Gandaria Govt. Girl's Primary School,"7, Dinnath Sen Road, Dhaka",,23.702801,90.42307
Gandaria Ideal School & College,"6/2, Shasibhusun Chartijee Lane, Dhaka",,23.7058222,90.4230446
Gandaria Mohila Samiti Government Primary School,"17, Shoshibushun Road, Dhaka",,23.7049216,90.4236984
Manija Rahman Girls School,"23-26, Rajani Chowdhury Road, Dhaka",,23.7038508,90.4226794
Hazrat Fatema Mohila Madrasa,"99/5, Dinanath Sen Road, Dhaka",,23.7026928,90.4250804
Loharpul Sorkari Primary School,"100, S.K.Das Road, Dhaka",,23.7022355,90.4203332
Shapla Kinder Garten,"18, S B C Lane, Dhaka",,23.7050902,90.423778
Gandaria High School,,,23.7015344,90.4244242
World sain intarnational School,"23, Distilary road, Dhaka",,23.7062841,90.4209326
Kisholy Kochi Kachar Mela,,,23.7031792,90.4235725
Bangladesh Oxford International School,Narinda Road,,23.7139185,90.4187098
Narinda Govt. Primary Girls School,,,23.7130311,90.4185815
Narinda Govt. High School,"Dhaka, 1100",,23.714671,90.4209509
St. Gregory's High School and College,,,23.7082141,90.4142343
Kobbad Sardar School,Distillery Road,,23.7075479,90.4232035
শহীদ সোহরাওয়ার্দি কলেজ,"R M Das Lane, Dhaka, 1100",,23.7090453,90.4165047
বাংলাদেশ প্রকৌশল বিশ্ববিদ্যালয়,,,23.7252317,90.3911351
ঢাকা বিশ্ববিদ্যালয়,,,23.7312754,90.396381
সরকারী শহীদ সোহরাওয়ার্দী কলেজ,Dhaka,,23.708963,90.4165858
"St. Francis Xavier's Girls' School & College, Dhaka",,,23.7083492,90.4134728
Dhaka Govt. Muslim High School,,,23.7085938,90.4129696
K.L.Jubilee High School & College,,,23.7053765,90.4128148
Banglabazar Govt Girls' High School,,,23.7070302,90.4119235
শের ই বাংলা বালিকা মহাবিদ্যালয়,,,23.7205789,90.4185877
Boston International School,,,23.7144991,90.4187199
নারিন্দা কে. এ. হামিদ সরকারি প্রাথমিক বিদ্যালয়,,,23.7144989,90.4190153
St. Joseph International School,,,23.7131852,90.4215329
Armanitola Govt. High School,,,23.7149494,90.402183
Birsrestha Motiur Rahman Govt High School,,,23.7194209,90.4039366
Mahuttuli Govt Primary Boys & Girls School,"8/2, Abul Khairat Rd, Dhaka",,23.7156234,90.4012962
